,대상자번호,업종코드,대상자코드
2366810,6000132688,46105,275
2366881,6000130870,46510,355
2366914,6000146104,22211,638
2366918,6000146141,25111,136
2367040,6000113209,13999,511
2367051,6000150492,28111,135
2367087,6000162805,29119,550
2367115,6000146061,46510,327
2367274,6000173200,46800,307
2367322,6000156763,46441,140
2367350,6000168376,22211,657
2367438,6000152651,46510,511
2367500,6000157256,15110,121
2367530,6000152728,13221,121
2367550,6000164737,20111,175
2367646,6000160759,46510,180
2367682,6000006108,46799,450
2367719,6000018115,46800,151
2368061,6000148749,30201,220
2368108,6000107900,46321,154
2368274,6000146031,46105,516
2368469,6000141741,25931,410
2368522,6000156732,46510,151
2368563,6000162804,20501,511
2368589,6000169788,46800,352
2368663,6000154811,33999,349
2368696,6000150988,46800,450
2368709,6000157019,46800,130
2368748,6000155551,22250,136
2368779,6000159759,46539,355
2368788,6000160104,96999,121
2368865,6000175123,46739,511
2368945,6000191878,52921,136
2368997,6000191427,45211,580
2369083,6000196942,25111,511
2369090,6000186240,46539,350
2369246,6000081210,71201,560
2369253,6000097205,46105,280
2369535,6000151165,46451,450
2369631,6000150370,45211,530
2369666,6000083691,29119,176
2369685,6000135490,46521,645
2369750,6000147078,46800,511
2370036,6000164347,46510,121
2370178,6000184832,46521,361
2370179,6000196950,46800,121
2370201,6000182373,47320,355
2370208,6000185590,95111,360
2370222,6000188820,47311,275
2370236,6000149005,14199,165
2370267,6000194434,45110,560
2370291,6000195060,46510,511
2370301,6000194470,29111,135
2370331,6000182237,13921,511
2370375,6000181303,47111,355
2370383,6000181961,25111,450
2370412,6000192212,46441,120
2370460,6000175168,45110,275
2370527,6000161522,17901,550
2370609,6000100716,46510,176
2370701,6000089688,45211,333
2370711,6000081197,46611,351
2370714,6000089677,47320,353
2371022,6000133224,46105,657
2371052,6000150714,46800,120
2371100,6000116715,46739,361
2371112,6000143485,46800,360
2371349,6000157747,13999,450
2371363,6000155738,33999,160
2371459,6000165710,14199,135
2371482,6000173725,46521,618
2371483,6000173726,46521,618
2371560,6000142566,46510,151
2371736,6000178741,47320,332
2371737,6000179115,22250,450
2371755,6000197928,45211,560
2371808,6000135481,46510,645
2371813,6000173205,28302,357
2371971,6000008125,70111,121
2372017,6000016108,45211,552
2372045,6000100208,47320,327
2372061,6000008604,47121,450
2372375,6000112745,28302,165
2372386,6000112800,46411,361
2372475,6000150042,46510,355
2372500,6000150916,33301,450
2372533,6000128219,25122,250
2372590,6000120674,46441,176
2372859,6000171884,22211,121
2372920,6000199490,29119,171
2372924,6000182383,13310,332
2373130,6000167937,46510,517
2373288,6000152617,46510,130
2373464,6000016114,47511,360
2373474,6000015111,46800,306
2373510,6000017622,26310,360
2373583,6000007183,28201,121
2373819,6000116186,24111,511
2373823,6000126295,46539,327
2373897,6000148707,46800,353
2373898,6000148714,25911,353
2373977,6000134292,46621,355
2374082,6000133216,45211,332
2374192,6000152701,33999,136
2374299,6000186792,26299,121
2374442,6000169734,46510,450
2374482,6000171565,46510,332
2374778,6000164797,47111,130
2374860,6000010112,32019,687
2374887,6000027107,46521,450
2374892,6000027105,47520,450
2374933,6000027123,46539,701
2374943,6000016107,46441,450
2375027,6000094187,28201,358
2375225,6000151739,46411,450
2375274,6000116722,46800,450
2375292,6000110701,47111,370
2375320,6000136084,46510,517
2375576,6000169033,22211,355
2375588,6000155232,46510,120
2375614,6000035102,45211,151
2375630,6000169578,46105,275
2375702,6000158189,45211,351
2375808,6000158744,22250,450
2375812,6000160387,29119,332
2375846,6000156114,47111,360
2375899,6000160388,42311,332
2375935,6000198098,50111,275
2375999,6000151200,46510,355
2376008,6000156461,30310,355
2376042,2121100398,46105,121
2376120,6000157180,47811,275
2376137,6000176251,11121,333
2376242,6000191769,30310,511
2376245,6000194223,47211,280
2376248,6000185417,46311,120
2376438,6000101235,47320,560
2376448,6000044123,26310,135
2376461,6000086731,47320,511
2376697,6000142287,84111,367
2376781,6000146679,45211,355
2376814,6000149042,46331,140
2376828,6000112271,46721,450
2376884,6000130872,46621,355
2376980,6000154821,46539,332
2377034,6000164740,28111,135
2377133,6000156977,72111,176
2377193,6000160671,46800,121
2377250,6000167935,47320,517
2377335,6000172029,26410,630
2377342,6000173527,46510,350
2377373,6000173412,46800,511
2377445,6000168334,46105,121
2377490,6000158068,33999,280
2377495,6000168338,46510,115
2377509,2332100853,46800,332
2377549,6000168723,25111,121
2377646,6000168393,46461,140
2377669,6000171243,33301,450
2377689,6000152705,46800,450
2377714,6000081238,45211,361
2377736,6000008622,72111,280
2377789,6000068140,47411,450
2377800,6000029635,47320,450
2377801,6000068138,47411,450
2377848,6000045622,13229,525
2377861,6000070676,45211,525
2377864,6000093803,74100,331
2377869,6000099679,46539,327
2378081,6000121199,46521,327
2378248,6000134305,46539,355
2378284,6000130878,46621,355
2378285,6000130899,46510,355
2378396,6000142572,64999,140
2378409,6000149275,46311,140
2378533,6000173181,47320,361
2378563,6000172722,45211,580
2378655,6000155291,47320,557
2378664,6000151247,46621,332
2378672,6000172519,46105,121
2378691,6000159804,46800,450
2378781,6000168951,47320,450
2378814,6000168341,96999,135
2378827,6000177625,46491,651
2378847,6000160363,46800,130
2378867,6000195000,24121,356
2379020,6000070649,46311,361
2379056,6000179099,46611,450
2379078,6000179108,28511,121
2379132,6000036660,28111,511
2379851,6000231550,10309,511
2379912,6000243162,26299,355
2379921,6000239428,66199,154
2379977,6000254253,46510,275
2380006,6000230422,46510,135
2380015,6000238462,28511,332
2380053,6000245678,47121,121
2380065,6000224956,46800,361
2380149,6000233476,10791,151
2380209,6000243952,22211,503
2380362,6000245390,46411,450
2380558,6000209441,46739,516
2380595,6000186234,46521,349
2380754,6000183239,42201,701
2380777,6000180442,46800,130
2380839,6000193864,46721,360
2380870,6000185321,26310,511
2380982,6000206545,46105,275
2380994,6000202336,33999,176
2381017,6000205955,13221,275
2381041,6000223038,45211,176
2381065,6000134791,46105,560
2381077,6000218930,46800,280
2381204,2560100735,17121,560
2381390,6000252456,46311,165
2381641,6000250487,29111,121
2381743,6000253666,68221,280
2381756,6000156057,13109,121
2381835,6000243749,46510,180
2381840,6000254578,22250,121
2381883,6000253473,46510,171
2381903,6000245655,42201,355
2381980,6000194230,47320,511
2382016,6000182280,46411,275
2382081,2550103259,46800,550
2382092,6000182215,46800,171
2382122,6000179230,22111,370
2382141,6000182512,22211,542
2382227,6000179243,46105,511
2382261,6000180638,58111,360
2382293,6000185403,58121,450
2382332,6000156051,46539,176
2382359,6000205696,46321,450
2382438,6000208657,46539,165
2382445,6000207990,71531,140
2382451,6000209464,46461,450
2382507,2275102373,45211,275
2382516,6000218941,46420,651
2382537,6000221631,20111,135
2382613,6000227500,27321,450
2382614,6000239470,46510,280
2382786,6000238467,42201,327
2382789,6000234725,47411,360
2382807,6000048623,42110,275
2382852,6000247368,30310,511
2382871,6000250013,46411,140
2383317,6000195459,46510,332
